code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
CSN,303,ZGGG,EGLL,,B-20CJ,38000,,23:00,11:25,12:25,,718,P,2,1
CSN,304,EGLL,ZGGG,,B-20CJ,37000,,15:25,3:00,11:35,,718,P,3,1
CSN,305,ZGGG,NZAA,,B-309W,37000,,15:45,2:45,11:00,,702,P,36,1
CSN,306 (1),NZAA,ZGGG,,B-309W,38000,,10:00,21:35,11:35,,702,P,40,1
CSN,306 (2),NZAA,ZGGG,,B-309W,38000,,9:18,19:45,10:27,,702,P,1,1
CSN,307,ZGGG,EHAM,,B-30F0,38000,,16:05,4:20,12:15,,693,P,4,1
CSN,308,EHAM,ZGGG,,B-30F0,37000,,10:50,21:50,11:00,,693,P,5,1
CSN,309,ZBAD,VHHH,,B-5951,38000,,1:00,4:30,3:30,,185,P,124,1
CSN,310,VHHH,ZBAD,,B-5951,37000,,5:50,9:30,3:40,,185,P,124,1
CSN,311,ZGGG,CYYZ,,B-1293,38000,,2:15,16:45,14:30,,925,P,14,1
CSN,312 (1),CYYZ,ZGGG,,B-20CJ,37000,,21:30,13:00,15:30,,925,P,5,1
CSN,312 (2),CYYZ,ZGGG,,B-20CJ,37000,,22:30,14:00,15:30,,925,P,2,1
CSN,312 (3),CYYZ,ZGGG,,B-20CJ,37000,,23:00,14:30,15:30,,925,P,0,1
CSN,325,ZGGG,YSSY,,B-20CK,37000,,12:40,22:25,9:45,,577,P,2,1
CSN,326,YSSY,ZGGG,,B-20CK,38000,,0:25,10:10,9:45,,577,P,3,1
CSN,327,ZGGG,KLAX,,B-20CK,38000,,13:30,2:10,12:40,,867,P,6,1
CSN,328,KLAX,ZGGG,,B-20CK,37000,,6:20,21:40,15:20,,867,P,1,1
CSN,331,ZGGG,EDDF,,B-30AL,38000,,0:15,12:40,12:25,,685,P,5,1
CSN,332,EDDF,ZGGG,,B-30AL,37000,,17:15,4:30,11:15,,685,P,5,1
CSN,347,ZGGG,LFPG,,B-30F0,38000,,17:00,5:40,12:40,,715,P,3,1
CSN,348,LFPG,ZGGG,,B-30F0,37000,,12:00,23:35,11:35,,715,P,4,1
CSN,349,ZGGG,WMKK,,B-8358,38000,,1:45,6:00,4:15,,233,P,5,1
CSN,350,WMKK,ZGGG,,B-5951,37000,,7:45,12:00,4:15,,233,P,5,1
CSN,383 (1),ZGGG,OMDB,,B-300U,38000,,7:55,16:45,8:50,,460,P,46,1
CSN,383 (2),ZGGG,OMDB,,B-300U,38000,,7:35,16:20,8:45,,460,P,0,1
CSN,384 (1),OMDB,ZGGG,,B-300U,37000,,18:45,2:10,7:25,,460,P,46,1
