Dep,Arr,Route
ZBAA,PANC/NZAA/YBBB/ROAH/KDFW/RKTN/RJOO/KDTW/MMTJ/RJAA/RJTT/CYYZ/RJFF/RKPK/PGUM/RKJJ/RJCH/KIAD/PHNL/RKPC/KSFO/KLAS/KLAX/CYUL/KMEM/RJGG/KJFK/KLGA/KEWR/RKTU/PGSN/KSJC/RKSI/RKSS/CYVR/RKJB/KSEA/YSSY/RJEC/RJCC/KORD,MUGLO W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO
ZBAA,PANC/UHPP/KBOS/KPDX/KDFW/KDTW/MMTJ/CYYZ/KPHL/PGUM/UHHH/KIAD/PHNL/KSFO/CYYC/KLAS/KLAX/CYUL/KMEM/KJFK/KLGA/KEWR/KPIT/KSJC/CYVR/KSEA/KIAH/KORD,DOTRA B334 TGO G212 ARGUK
ZBAA,RJOO/RJAA/RJTT/UHWW/UHSS,DOTRA B334 TGO G341 WQG B451 BISUN
ZBAA,VVTS/VVDN,RUSDO W45 NUPTI R343 LBN H82 BHY W70 NYB G221 BUNTA
ZBAA,ZKPY,DOTRA B334 KAKAT W31 CHG A575 BIDIB A345 GOLOT
ZBAA,DAAG/UAAA/EHAM/UACC/EGPH/ENGM/LFPG/LEBL/EDDB/LYBE/UHPP/EGBB/LHBP/LROP/LRBS/LKPR/EBBR/USCC/HLLT/EIDW/EDDL/UNOO/EDDF/EKCH/EGPF/EDFH/EDDV/EFHK/EPWA/UKBB/UKKK/URKK/UNKL/LPPT/ELLX/EGLL/EGKK/LIRF/LEMD/EGCC/LIMC/UMMS/UUEE/UUWW/UUDD/EDDM/LFMN/LSGG/LEZG/ULLI/ESSA/LSZH/URSS/LIPZ/LOWW/UWUU/ZMCK/ZMUB/UIUU/UNNT/LGAV/USSS/UIII,IDKEX B339 ASILA A575 INTIK
ZBAA,UTAA/UAFO/UBBB/UCFM/OIIE/OIII/UTDD/OTHH/HSSS/FNLU/UTTT/LLBG,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 KABDO W119 LIMDO A468 KAMUD
ZBAA,PANC/KOAK/NZAA/ROAH/KDFW/KDTW/MMTJ/CYYZ/PGUM/KIAD/PHNL/KSFO/KLAS/KLAX/CYUL/KMEM/KJFK/KLGA/KEWR/PGSN/KSJC/CYVR/KSEA/KORD,ELKUR W40 YQG W142 DALIM A593 PK W116 JTN G327 LAMEN
ZBAA,VGHS/VIDP/OMDB/OEJN/VNKT/VCBI/VRMM/OEMA/VABB/VYEL/HAAB/VYYY/OPIS/FAOR,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 XFA A581 SGM A599 LINSO
ZBAA,VIDP/HLLT/FVHA/OPKC/VRMM/VABB/HKJK/CYYJ/HAAB/OPIS/FAOR,RUSDO W45 LIN A581 QNX W136 XISLI A581 SGM A599 LINSO
ZBAA,RPLL/RPVM,ELKUR W40 PANKI W158 AR H104 ATVIM W127 HFE H2 XLN A470 MAGOG
ZBAA,WBKK/RPLL/RPVM,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 HFE H2 XLN A470 MAGOG
ZBAA,WBKK/RPLL/RPVM,ELKUR W40 YQG W142 DALIM A593 P86 X109 P182 H40 TOS H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 XLN A470 MAGOG
ZBAA,RPLL/RPVM,ELKUR W40 PANKI W158 AR H104 ATVIM W127 SEGPI V39 P558 X43 JDZ H2 XLN A470 MAGOG
ZBAA,PANC/LFPG/KBOS/KPDX/KDFW/KDTW/MMTJ/CYYZ/EDDF/KPHL/PGUM/EFHK/KIAD/PHNL/KSFO/CYYC/KLAS/KLAX/CYUL/KMEM/KJFK/KLGA/KEWR/KSJC/CYVR/KSEA/KIAH/KORD,IDKEX B339 POLHO
ZBAA,OMAA/ORBI/OBBI/ORMM/EBBR/VIDP/OMDB/OTHH/HSSS/OPKC/OKBK/OPLA/OERK/FNLU/OOMS/OMSJ/HAAB/OPIS/LTFJ/LTBA/LTFM,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 IBANO W187 MAGIV B215 PURPA
